year,prob,conf_raw,conf_cal,god,consensus,pick,real,hit,tier
2024,0.26206044163095504,73.8,63.2,False,4,0,1,0,STANDARD
2024,0.6611634704033641,66.1,63.8,False,4,1,1,1,STANDARD
2024,0.4429845648910063,55.7,53.5,False,4,0,0,1,STANDARD
2024,0.48675274211997116,51.3,43.0,False,1,0,1,0,STANDARD
2024,0.6954507787467763,69.5,63.8,False,3,1,1,1,STANDARD
2024,0.762939033501532,76.3,71.2,False,4,1,1,1,VOLUMEN
2024,0.22054528358741768,77.9,71.2,False,1,0,1,0,VOLUMEN
2024,0.6098639751893573,61.0,56.2,False,3,1,0,0,STANDARD
2024,0.4552252278021636,54.5,43.0,False,4,0,1,0,STANDARD
2024,0.592651076487707,59.3,53.5,False,3,1,1,1,STANDARD
2024,0.33170647866556396,66.8,63.8,False,4,0,0,1,STANDARD
2024,0.5198378876116669,52.0,43.0,False,4,1,1,1,STANDARD
2024,0.35438700701033155,64.6,56.2,False,4,0,0,1,STANDARD
2024,0.3166049049247734,68.3,63.8,False,2,0,0,1,STANDARD
2024,0.7194215867517779,71.9,63.2,False,4,1,0,0,STANDARD
2024,0.09401933730724485,90.6,90.6,True,4,0,0,1,GOD
2024,0.1546665095500309,84.5,61.1,True,4,0,0,1,STANDARD
2024,0.4335772117371768,56.6,53.5,False,4,0,0,1,STANDARD
2024,0.38881646104814466,61.1,56.2,False,1,0,0,1,STANDARD
2024,0.7059000388862768,70.6,63.2,False,4,1,1,1,STANDARD
2024,0.6337910504359191,63.4,59.7,False,4,1,0,0,STANDARD
2024,0.7208139510804561,72.1,63.2,False,4,1,1,1,STANDARD
2024,0.5384240610263108,53.8,43.0,False,3,1,1,1,STANDARD
2024,0.4508102133862444,54.9,39.5,False,1,0,1,0,STANDARD
2024,0.6690110194226275,66.9,63.8,False,4,1,1,1,STANDARD
2024,0.391100811047645,60.9,59.7,False,1,0,0,1,STANDARD
2024,0.2993655418181643,70.1,63.2,False,3,0,1,0,STANDARD
2024,0.5508572369539745,55.1,53.5,False,4,1,0,0,STANDARD
2024,0.12169859443479215,87.8,81.8,False,4,0,1,0,SNIPER
2024,0.8755652478923621,87.6,81.8,True,4,1,1,1,GOD
2024,0.13520729206316637,86.5,81.8,True,4,0,0,1,GOD
2024,0.3917827856996615,60.8,59.7,False,2,0,1,0,STANDARD
2024,0.28166951588769773,71.8,63.2,False,1,0,0,1,STANDARD
2024,0.8488618837274112,84.9,61.1,True,4,1,1,1,STANDARD
2024,0.5151412421630779,51.5,43.0,False,4,1,1,1,STANDARD
2024,0.48435418286629095,51.6,39.5,False,2,0,0,1,STANDARD
2024,0.6774196842022191,67.7,63.8,False,4,1,0,0,STANDARD
2024,0.3896566000765628,61.0,59.7,False,1,0,1,0,STANDARD
2024,0.5429404576193032,54.3,43.0,False,4,1,1,1,STANDARD
2024,0.4702664229833623,53.0,43.0,False,1,0,1,0,STANDARD
2024,0.5281468332855771,52.8,43.0,False,4,1,1,1,STANDARD
2024,0.6614575911283028,66.1,63.8,False,4,1,1,1,STANDARD
2024,0.27273376860299864,72.7,63.2,False,2,0,0,1,STANDARD
2024,0.7555970552534154,75.6,71.2,False,4,1,0,0,VOLUMEN
2024,0.19745021791836015,80.3,61.1,False,4,0,0,1,STANDARD
2024,0.43808616411066326,56.2,53.5,False,1,0,0,1,STANDARD
2024,0.47322338209433584,52.7,43.0,False,1,0,0,1,STANDARD
2024,0.6100742872786319,61.0,56.2,False,4,1,1,1,STANDARD
2024,0.8540488240355867,85.4,81.8,True,4,1,1,1,GOD
2024,0.4576030247617196,54.2,39.5,False,2,0,0,1,STANDARD
2024,0.5338968002911564,53.4,43.0,False,3,1,1,1,STANDARD
2024,0.31303387477511707,68.7,60.3,False,2,0,1,0,STANDARD
2024,0.5669963756522184,56.7,53.5,False,4,1,0,0,STANDARD
2024,0.7806424469354533,78.1,71.2,False,4,1,0,0,VOLUMEN
2024,0.361167757118519,63.9,59.7,False,4,0,0,1,STANDARD
2024,0.22483555640496378,77.5,71.2,False,4,0,0,1,VOLUMEN
2024,0.4755430882567331,52.4,43.0,False,2,0,0,1,STANDARD
2024,0.287028393319757,71.3,63.2,False,2,0,0,1,STANDARD
2024,0.15590274396670878,84.4,57.6,False,4,0,0,1,STANDARD
2024,0.5371230205655207,53.7,43.0,False,1,1,1,1,STANDARD
2024,0.4130980487898881,58.7,53.5,False,4,0,1,0,STANDARD
2024,0.5192773757267798,51.9,43.0,False,4,1,0,0,STANDARD
2024,0.4362455094618561,56.4,53.5,False,1,0,0,1,STANDARD
2024,0.4403597686657088,56.0,53.5,False,2,0,1,0,STANDARD
2024,0.34189270309791864,65.8,60.3,False,4,0,1,0,STANDARD
2024,0.36467225699836103,63.5,59.7,False,4,0,1,0,STANDARD
2024,0.8712646853882252,87.1,81.8,True,4,1,1,1,GOD
2024,0.7355842569846314,73.6,63.2,False,4,1,1,1,STANDARD
2024,0.20136853684425776,79.9,71.2,True,4,0,1,0,VOLUMEN
2024,0.3248009990004488,67.5,63.8,False,1,0,0,1,STANDARD
2024,0.2666458334574314,73.3,63.2,False,3,0,1,0,STANDARD
2024,0.6175278396189446,61.8,59.7,False,1,1,0,0,STANDARD
2024,0.3063963482660557,69.4,63.8,False,4,0,0,1,STANDARD
2024,0.8443679577573743,84.4,61.1,True,4,1,1,1,STANDARD
2024,0.692949664785013,69.3,63.8,False,4,1,0,0,STANDARD
2024,0.6180088139325292,61.8,59.7,False,4,1,1,1,STANDARD
2024,0.19693701276748307,80.3,61.1,True,4,0,0,1,STANDARD
2024,0.7363924891400172,73.6,63.2,False,2,1,0,0,STANDARD
2024,0.5265609903411106,52.7,43.0,False,4,1,0,0,STANDARD
2024,0.7722180521321946,77.2,71.2,True,4,1,1,1,VOLUMEN
2024,0.5900319333030892,59.0,53.5,False,4,1,1,1,STANDARD
2024,0.8515542220231921,85.2,81.8,True,4,1,0,0,GOD
2024,0.6541032901358478,65.4,63.8,False,1,1,1,1,STANDARD
2024,0.8206628150242095,82.1,61.1,True,4,1,1,1,STANDARD
2024,0.6124469689813204,61.2,59.7,False,3,1,0,0,STANDARD
2024,0.6050770282727965,60.5,59.7,False,4,1,0,0,STANDARD
2024,0.4072695509583555,59.3,53.5,False,2,0,1,0,STANDARD
2024,0.3054656944259816,69.5,63.8,False,2,0,0,1,STANDARD
2024,0.909198772368145,90.9,90.9,True,4,1,1,1,GOD
2024,0.6906063900474873,69.1,63.8,False,2,1,1,1,STANDARD
2024,0.1732405025881878,82.7,61.1,True,4,0,0,1,STANDARD
2024,0.5266228901910018,52.7,43.0,False,4,1,1,1,STANDARD
2024,0.7554026456158902,75.5,71.2,False,2,1,0,0,VOLUMEN
2024,0.6450129087585215,64.5,59.7,False,4,1,1,1,STANDARD
2024,0.7626330691703048,76.3,71.2,True,4,1,1,1,VOLUMEN
2024,0.48734432088035823,51.3,43.0,False,2,0,1,0,STANDARD
2024,0.5089204729980787,50.9,43.0,False,2,1,0,0,STANDARD
2024,0.7714668821019462,77.1,71.2,False,4,1,0,0,VOLUMEN
2024,0.46123386496056074,53.9,43.0,False,3,0,0,1,STANDARD
2024,0.4011115779264862,59.9,53.5,False,3,0,1,0,STANDARD
2024,0.43591776365796636,56.4,53.5,False,2,0,1,0,STANDARD
2024,0.5114579539346947,51.1,43.0,False,3,1,1,1,STANDARD
2024,0.37528319879123384,62.5,59.7,False,4,0,0,1,STANDARD
2024,0.7159405792480698,71.6,63.2,False,4,1,1,1,STANDARD
2024,0.3145076878138455,68.5,63.8,False,3,0,0,1,STANDARD
2024,0.356363766927983,64.4,59.7,False,1,0,0,1,STANDARD
2024,0.3467392174227997,65.3,63.8,False,4,0,0,1,STANDARD
